,Unnamed: 0,Sentence,Aspect Terms,Sentiment
259,259,ppl be aware . I found out yesterday to my surprise that behind united4iran r mollas rejects . Not our friends # iranelection,behind united4iran,NEGATIVE
1775,1775,MiLB Minor League ADULT PAWTUCKET RED SOX Navy Hat Cap Adjustable Velcro TWILL â Red Sox Affiliate â Review s: MiLB ... http://t.co/5Tw3ERBW,Red Sox,NEUTRAL
2771,2771,BLUE or RED PILL ? Ron Paul to TSA : Stop Radiating Our Bodies and Fondling Our Children ! http://ow.ly/1a1Y1I,TSA,NEGATIVE
2185,2185,Cowboys win ! The weekend is a good one now !,Cowboys,POSITIVE
178,178,Today Well Lived Will Make Tomorrow a Vision Of Hope : Cheers !! Joyce and Ray : http://bit.ly/GoldenBlog,Joyce,NEUTRAL
2085,2085,The Pregnancy Plan ( Harlequin Special Edition ) http://ourl.com/hxeq,Harlequin,NEUTRAL
1738,1738,"Optimism is the faith that leads to achievement . Nothing can be done without hope and confidence."" Helen Keller",Helen Keller,NEUTRAL
2694,2694,"Great PC & Laptop Sales at http://bit.ly/YFL-Promo Get promo codes from HP , Dell Small Business , Comp USA , Computer Associates & more",Dell Small Business,POSITIVE
3053,3053,"Murray , Federer to Dubai semis in straight set s: Roger Federer and Andy Murray advanced to the semifinals of the ... http://t.co/bfT7rzmZ",Murray,NEUTRAL
1583,1583,Jessica Simpson Pregnancy Cravings Do Not Include Pizza : What She Wants Instea d: Jessica Simpson is pr ... http://t.co/vnahvqOr pregnancy,Jessica Simpson,NEUTRAL
2869,2869,"Bus Drivers , Transit and Intercity - Careers.Org Occupation Profile",Careers.Org,NEUTRAL
1367,1367,"I created group College Of Engineering , Poonjar on Linkedin . : http://lnkd.in/MBbVcv",College Of Engineering,POSITIVE
2469,2469,A lot about gender & parenting RT @rahalmaya : The most shared articles of 2011 on Facebook were â¦ http://t.co/Dd8qVTbh via @TNWfacebook,Facebook,NEUTRAL
1378,1378,"Steve Jobs , Apple co-founder , dies aged 56 http://t.co/1LBL6hnD",Steve Jobs,NEUTRAL
2631,2631,"UFC : Davis-Machida , Nick Fairley , MLB Game 162 : http://t.co/AUTpWDfk",UFC,NEUTRAL
248,248,Bill Walsh interviews LuAn Mitchell and Terri Tibbs this Sunday on the Rainmaker Show . http://t.co/W6WknUd5 via @billwalsh360,LuAn Mitchell,NEUTRAL
2842,2842,Apple iPad Sales May Reach 2 Million Per Month http://bit.ly/aTFU3m iPad also to launch in 9 new countries this month,Apple,NEUTRAL
3054,3054,"Murray , Federer to Dubai semis in straight set s: Roger Federer and Andy Murray advanced to the semifinals of the ... http://t.co/bfT7rzmZ",Federer,POSITIVE
