,Sentence,Aspect Terms,Sentiment
0,How can someone so incompetent like Maxine Waters stay in office for over 20 years ? #LAFail,Maxine Waters,NEGATIVE
1,@HabibaAlshanti .. Yes I want that :p,@HabibaAlshanti,POSITIVE
2,Steve Maviglio/ California Majority Report : Another Meg Whitman Pinocchio Moment - http://bit.ly/duCr5G,Steve Maviglio/,NEUTRAL
3,Steve Maviglio/ California Majority Report : Another Meg Whitman Pinocchio Moment - http://bit.ly/duCr5G,Meg Whitman Pinocchio,NEGATIVE NEGATIVE NEUTRAL
4,Luke Donald lays down marker for Scottish Open defence http://t.co/W6g2PRTN,Luke Donald,NEUTRAL
5,"On this day 1963 , In less than ten hours , The Beatles record ten new songs for their first album plus four other ... http://t.co/EBpJFT3w",The Beatles,POSITIVE
6,"In 1999 , the government did not come to Putin that Russia simply razvalilas and the fate of Russia would be very sad !",government,NEGATIVE
7,"In 1999 , the government did not come to Putin that Russia simply razvalilas and the fate of Russia would be very sad !",Putin,NEUTRAL
8,"In 1999 , the government did not come to Putin that Russia simply razvalilas and the fate of Russia would be very sad !",Russia,NEGATIVE
9,"In 1999 , the government did not come to Putin that Russia simply razvalilas and the fate of Russia would be very sad !",Russia,NEUTRAL
10,"mission acomplished , shatel was the last one",shatel,NEUTRAL
11,Download Tamil Song : Prash Mixstation Unit 2011 ( 38 Remixed Tamil Songs ) http://t.co/pHtwI81Y,Tamil,NEUTRAL
12,Download Tamil Song : Prash Mixstation Unit 2011 ( 38 Remixed Tamil Songs ) http://t.co/pHtwI81Y,Tamil,POSITIVE
13,"Someone at Apple lost their prototype iPhone , and Gizmodo.com has disassembled it examined it http://ow.ly/1AjMh #apple #iphone",Apple,NEUTRAL
14,I just unlocked the Photogenic badge on foursquare ! Say cheese ! http://t.co/xeAHprzu,foursquare,NEUTRAL
15,Baseball Warehouse : Easy To Understand Information @ http://t.co/5ONMr3x9,Baseball Warehouse,POSITIVE
16,Connor Morgan MYP for Mid-Ulster speaks As Gaelige in the House of Commons . http://t.co/OBcTuzXH,Connor Morgan,NEUTRAL
17,Connor Morgan MYP for Mid-Ulster speaks As Gaelige in the House of Commons . http://t.co/OBcTuzXH,House of Commons,NEUTRAL
18,"I posted 15 photos on Facebook in the album ""PICK IT UP 23/10/11"" http://t.co/GO2tlMNc",Facebook,NEUTRAL
19,Is long-distance running bad for heart ? ( Post Gazette ): Share With Frien ds: | | Travel - Adventure Travel News ... http://t.co/INGajE2c,Post Gazette,NEUTRAL
20,The White Stripes- From the Basement Session ( VIDEO ) http://bit.ly/dpq9JW,The White Stripes-,NEUTRAL
21,Internet Marketing Agency Make Money Online Business Course - Work Online and Make Money . http://bit.ly/bDsBJ6,Internet Marketing Agency,NEUTRAL
22,Tactical Report - Iraq : Sistani dissatisfied with Shiite leaders http://t.co/ljUv3PUR via @TacticalReport,Sistani,NEGATIVE
