,Unnamed: 0,Sentence,Aspect Terms,Sentiment
441,441,Listen to Dj ilko's Cloudcast on http://t.co/Dy9xR8gD http://t.co/BATETU8J via @mixcloud,Dj ilko's,NEUTRAL
2723,2723,the new Travelmarketplace for events in unity with travel and overnight . Visit us for your next trip to Germany at : www.en.hotelodeo.com,Travelmarketplace,NEUTRAL
1597,1597,The key to change is to let go of fear-Chewtiong,fear-Chewtiong,NEGATIVE
1265,1265,50 % off at The Milk Pail Market http://t.co/CHAi8M4G via @GoogleOffers,The Milk Pail Market,NEUTRAL
643,643,#becauseoffacebook revolutions in the Mideast . #Syria army attacking its ppl NOW ! RT ! Spread the word on this genocide by #Assad,#Assad,NEGATIVE
832,832,"Global Pillow wants to know - have you ever been to South Africa before ? If so , what did you think ?",Global Pillow,NEUTRAL
3208,3208,"if Birmingham can tie Chelsea at Stamford 1-1 , Sunderland beat Arsenal 2-0 at Lights , did the stars wrote Brighton will beat Liverpork 2nite ?",Birmingham,NEUTRAL
1698,1698,"iCurrency Plus for Windows new feature â Post to Twitter , Facebook or send a mail - Do you see the icons for ... http://t.co/1U9kjdNo",Facebook,NEUTRAL
1339,1339,Mockton proposes mining industry news ventures in Australia : http://t.co/s8e34tDt,Mockton,NEUTRAL
2813,2813,http://t.co/z94zI6D What combination of events needs to happen for the Philadelphia Eagles to make the playof ... philadelphia eagles,philadelphia eagles,NEUTRAL
1189,1189,I liked a @YouTube videofrom @b16ball http://t.co/XC2maT7O BMW shows off their semi-autonomous driving sys,BMW,POSITIVE
463,463,$ 19.99 for $ 59.88 Value â 48-Pack Duracell Copper Top AA Alkaline Batteries Plus Free Shipping http://t.co/CXcngouc #coupons,Duracell,NEUTRAL
868,868,"New KSU faculty appointments announced at Scientific Council â s fifth session : On Sunday , November 13 , King Saud ... http://t.co/v2mBny4w",King Saud,NEUTRAL
2299,2299,â The Wizardry of Leadership â : Laghari â s 7-point formula for youth leadership http://t.co/699Tbv4s via @etribune,Laghari,NEUTRAL
1614,1614,Goal : Q & A With U.S . Defender Carlos Bocanegra : Questions for and answers from U.S . and Glasgow Rangers defender ... http://t.co/TKLjztfM,Glasgow Rangers,NEUTRAL
2595,2595,Meeting Section @ KAU | Faculty Of Environmental Design http://t.co/Bl323yup,Faculty Of Environmental Design,NEUTRAL
501,501,@nabbycat I don't make terrariums but @vixlew does . Mine is from her ( & a pretty lil' thing it is too ! ) @muses79,@vixlew,POSITIVE
2557,2557,sian champions league kena chelsea .. one season must play them how many times man ...,kena chelsea,NEUTRAL
569,569,To all Ganna egy Members .Thank you for being on the page http://t.co/NHZBSX6p,Ganna egy,POSITIVE
1430,1430,On Faith Panelists Blog : Thank goodness for Christopher Hitchens ! - Daniel C . Dennett http://bit.ly/9cjJVn,Christopher Hitchens,POSITIVE
2806,2806,http://t.co/PrUEpa7C Viad Corp acquires Banff International Hotel : Viad Corp has completed the acq ... http://t.co/1UnFeJVQ EDconsulting_,Viad Corp,NEUTRAL
271,271,"Marble Homes Hua Hin Thailand , 100 % finance , no deposit www.search-realestate-thailand.com new property best buy !",Marble Homes,NEUTRAL
1613,1613,Goal : Q & A With U.S . Defender Carlos Bocanegra : Questions for and answers from U.S . and Glasgow Rangers defender ... http://t.co/TKLjztfM,Carlos Bocanegra,NEUTRAL
2498,2498,WordPress Frugal Theme Coupon Code : Special Frugal Theme Discount : Save money with our new valid frugal theme coup ... http://bit.ly/9IwPzB,WordPress,NEUTRAL
1521,1521,"Share ideas , ask questions , and be part of our City ! Join Mayor Boudreau at Coffee Hours this month . Details @ http://t.co/xxZmzA5n",Mayor Boudreau,POSITIVE
1441,1441,You're not one of the 1.5B :o) RT @ShannaNews @KushiNBCSD how can Santa wrap my present when I don't even know what I want ? ! ;) #mindreader,Santa,POSITIVE
1515,1515,"I posted 5 photos on Facebook in the album ""1st Rain at Huab Lodge & BushSPA"" http://t.co/BO4pH1xu",Facebook,NEUTRAL
2879,2879,"Finally someone is making a noise about this ! About time ! ""Gavaskar , Shastri are biased"" http://t.co/M4qc4M6","""Gavaskar",POSITIVE
1003,1003,Is Antonia Maino aka Sonia Gandhi Really to Blame ? http://t.co/iK2826zS,Sonia Gandhi,NEUTRAL
2912,2912,Mint Announces Third Quarterly Results and Market Guidance ... http : //p.gs/1vvo6,Mint,NEUTRAL
378,378,Republican Governors Association Chairman Gov . Bob McDonnell ... ( Richmond Times Dispatch ): Share W ... http://t.co/pBTT74Jr #yoga #health,Richmond Times Dispatch,NEUTRAL
2260,2260,GLOSSA's yoshi is really nice to peta me everyday .,peta,POSITIVE
1553,1553,Going to be a great @IBFinchy have a great time in the booth . Go the internationals especially our local QLD boys @PresidentsCup_,QLD,NEUTRAL
2816,2816,Directed by Cameron McKirdy Camera props to Seth Morrisey and Kelly Bode Specia ( @YouTube http://t.co/THWws0vM),Kelly Bode Specia,NEUTRAL
2068,2068,New SEO Reports in Google Analytics Now Here : This week we noticed a new feature in our Google Analytics account ... http://t.co/LVEBVTZg,Google,NEUTRAL
2495,2495,MPs claiming govt's Lokpal is sufficient to cure corruption shud ask Sonia whether Disprin was sufficient to cure her Cancer @janlokpal,Disprin,NEGATIVE
310,310,"@Home with Mosab , ZoZ , Zoz Jalal , and Amrico playing II Black Ops II .... Photo @ Fountain Park Apartments http://gowal.la/p/bXk5",Amrico,NEUTRAL
3159,3159,Omg ... New song to Rihanna is very cool ... Man down :D ( music ),Rihanna,POSITIVE
1401,1401,"Japan retail sales boosted by surge in demand for car s: "" The Japanese automotive association predicts that dome ... http://t.co/xIeCRdBC",Japanese automotive association,NEUTRAL
2136,2136,Just poste d: Olympus OM-D E-M5 hands-on preview http://t.co/GDZznvV5,Olympus,NEUTRAL
2840,2840,Check out BlackBerry Protect ! You can find it at http://t.co/aSKEIx18,BlackBerry,NEUTRAL
3127,3127,"""Humor is mankind's greatest blessing."" - Mark Twain http://t.co/068z0s9W",Mark Twain,POSITIVE
1789,1789,"Talk of drift , corruption is propaganda : Manmohan http://bit.ly/jlzu87",Manmohan,NEUTRAL
2555,2555,L'Oreal Brings Solar Power to Arkansa s; SKF Launches Gothia Cup Qualifiers ... : L'Oreal USA has installed solar ... http://t.co/uep3x5MC,SKF,NEUTRAL
3161,3161,Grand Ayatollah Sistani declares that the people of Iran have a right to demonstrate against Government - #SoG #Iranelection,Grand Ayatollah Sistani,NEUTRAL
334,334,â @ REITriState : Only 1 more week until REI Soho's Grand Opening ! â @cmxco,REI,POSITIVE
530,530,"s-s-c just go and care about yr NSAs three pillars , come and disturb us with RAM for what . tmd .",NSAs,NEUTRAL
1056,1056,KC Concepcion Rogue Magazine Photos Continue to Get Praised by Fans on Twitter : The KC Concepcion Rogue magazine ... http://t.co/gT1QLEUp,KC Concepcion Rogue Magazine,POSITIVE POSITIVE NEUTRAL NEUTRAL
